Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@laderechadiario,@laderechadiario,34,139,11,0.253667,0.277053,0.003709
@alemunozq,@alemunozq,4,0,11,0.261928,0.289005,0.001524
@alepoints,@alepoints,2,0,11,0.222451,0.235922,0.000043
@MSF_Espana,@MSF_Espana,3,0,12,0.197367,0.208014,0.000007
@alerodgrunert,@alerodgrunert,1,8,12,0.230547,0.243628,0
@alertaovni33,@alertaovni33,1,8,12,0.230547,0.243628,0
@alertascl,@alertascl,1,18,1,1,1,0
@javichu73,@javichu73,1,18,1,1,1,0
@alesansan,@alesansan,2,139,10,0.265262,0.292818,0.000077
@alesep78,@alesep78,1,0,11,0.224201,0.238157,0
@alesophiaaa,@alesophiaaa,1,124,11,0.219989,0.231932,0
@aletarife,@aletarife,1,215,11,0.215825,0.225695,0
@aletarra50281,@aletarra50281,1,157,11,0.246168,0.266,0
@alex_luxe,@alex_luxe,2,8,10,0.257124,0.282076,0.000005
@alexajaster,@alexajaster,1,193,12,0.207636,0.218375,0
@alexanderhachev,@alexanderhachev,2,0,11,0.228094,0.242803,0.000024
@monoaminoxidasa,@monoaminoxidasa,3,0,11,0.228255,0.243703,0.000065
@alexandernikko,@alexandernikko,3,157,11,0.248396,0.2699,0.000034
@alexandra_joo,@alexandra_joo,2,157,11,0.247827,0.268862,0
@alexandrade04,@alexandrade04,1,109,12,0.151099,0.155427,0
@alexcminaj,@alexcminaj,2,8,10,0.238014,0.252843,0.000003
@alexdecuri,@alexdecuri,1,139,10,0.245122,0.270518,0
@alexis_ayarom,@alexis_ayarom,4,8,10,0.245795,0.262537,0.000057
@alexis_lopez_t,@alexis_lopez_t,1,5,12,0.205254,0.215622,0
@ESubercaseaux,@ESubercaseaux,13,5,11,0.258251,0.279258,0.000597
@alexis_reiza,@alexis_reiza,1,5,12,0.190686,0.20096,0
@alexisborquez3,@alexisborquez3,1,8,12,0.189641,0.19923,0
@alexisv93685886,@alexisv93685886,1,139,10,0.245122,0.270518,0
@alexito75046910,@alexito75046910,2,0,13,0.160878,0.166716,0.000005
@Farmaenfurecida,@Farmaenfurecida,10,0,12,0.191673,0.202,0.002035
@SalobreMon47,@SalobreMon47,3,0,12,0.182169,0.189594,0.000383
@alexric97963247,@alexric97963247,1,8,10,0.229172,0.240727,0
@alexriquelmem,@alexriquelmem,1,8,10,0.25687,0.281537,0
@alezgalassi,@alezgalassi,1,139,10,0.245122,0.270518,0
@alfadeltagama,@alfadeltagama,2,0,11,0.209565,0.218796,0.0003
@le_Parisien,@le_Parisien,1,0,12,0.173263,0.178534,0
@nicolashurtado,@nicolashurtado,10,0,10,0.265086,0.283636,0.001168
@alfamirna,@alfamirna,4,193,10,0.259348,0.291932,0.000263
@alfons0nava,@alfons0nava,1,139,10,0.235786,0.250448,0
@alfredo231603,@alfredo231603,1,139,10,0.245122,0.270518,0
@alfredoaar,@alfredoaar,1,139,10,0.245122,0.270518,0
@alfredodiazd,@alfredodiazd,1,0,12,0.179958,0.187114,0
@elmundotoday,@elmundotoday,4,0,11,0.21944,0.233071,0.000635
@ali75march,@ali75march,2,0,11,0.213832,0.225939,0.000017
@siliconvalle,@siliconvalle,56,0,10,0.27011,0.293681,0.011546
@alibi_47,@alibi_47,1,19,2,0.555556,0.6,0
@sailorrooscout,@sailorrooscout,5,19,1,1,1,0.000001
@alicarina,@alicarina,1,8,12,0.225939,0.237245,0
@aliciadadal,@aliciadadal,1,8,10,0.25687,0.281537,0
@aliciapuleo,@aliciapuleo,1,157,13,0.166635,0.172833,0
@PartidocraciaR,@PartidocraciaR,4,157,12,0.199946,0.211261,0.0015
@alienporsiempr3,@alienporsiempr3,1,0,11,0.216365,0.228595,0
@alientolove1d,@alientolove1d,1,183,13,0.161013,0.167948,0
@aliriozv7,@aliriozv7,1,109,12,0.151099,0.155427,0
@alirvenezuela,@alirvenezuela,1,141,12,0.173669,0.180232,0
